Metric:,Median Sales Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,352000,349950,402000,325000,
February 2006,338000,334575,407250,321995,
March 2006,364950,330799,415250,317000,
April 2006,373995,340500,420000,325000,
May 2006,385500,350495,435000,328500,
June 2006,386000,378000,440000,324950,
July 2006,395900,380000,439000,330000,
August 2006,397500,385000,419950,337450,
September 2006,389950,381000,399975,346713,
October 2006,376250,370000,399450,349950,
November 2006,381000,369500,399950,374950,
December 2006,375000,377000,413625,375000,
January 2007,370000,382445,424295,369400,
February 2007,363000,379900,424950,380750,
March 2007,375000,381000,425000,395000,
April 2007,389950,388225,432351,395000,
May 2007,395000,402500,435950,380000,
June 2007,399995,413500,432176,363000,
July 2007,400000,413750,429500,369000,
August 2007,400000,400000,429000,372000,
September 2007,385000,400000,424943,375000,
October 2007,379950,399000,425000,365000,
November 2007,375000,408800,400500,354888,
December 2007,371325,395500,399925,342500,
January 2008,370000,396500,396000,340000,
February 2008,375500,380000,400000,372000,
March 2008,385000,361500,412000,369950,
April 2008,389975,363500,422475,359950,
May 2008,390000,369000,430750,348000,
June 2008,399975,370000,419975,349950,
July 2008,398000,369000,429200,346500,
August 2008,389500,367238,430850,340000,
September 2008,373000,352450,433725,349950,
October 2008,361500,355000,400000,349950,
November 2008,355000,350000,400000,349950,
December 2008,339225,355000,409975,330000,
January 2009,335000,342250,390925,329750,
February 2009,319750,345000,365000,316000,
March 2009,333500,345000,355000,324950,
April 2009,320000,345000,347450,324975,
May 2009,340000,345000,387000,315000,
June 2009,329000,345500,375000,300000,
July 2009,337950,331500,375000,300000,
August 2009,339000,317250,370000,300000,
September 2009,342500,315000,374975,307338,
October 2009,343500,327975,388000,309000,
November 2009,328000,335000,382000,310000,
December 2009,327000,335000,388975,315000,
January 2010,324000,311000,390000,323375,
February 2010,320000,310000,407000,320000,
March 2010,322075,312500,389000,295000,
April 2010,338000,303000,403750,300000,
May 2010,345000,332475,405000,300000,
June 2010,342000,320000,417500,320000,
July 2010,338838,328500,410000,300000,
August 2010,349950,285000,416000,295000,
September 2010,362500,292000,445000,257500,
October 2010,350000,291000,420000,236500,
November 2010,330000,300600,412000,258750,
December 2010,318725,300000,420000,247800,
January 2011,322250,300275,412000,260000,
February 2011,316250,270000,409000,245000,
March 2011,305000,305000,375000,251000,
April 2011,302000,289500,410000,251000,
May 2011,295000,273750,395000,250000,
June 2011,289900,269000,410000,261000,
July 2011,285500,281000,400000,263000,
August 2011,289850,295000,415000,252000,
September 2011,289000,282000,404750,241000,
October 2011,294350,285000,405000,240000,
November 2011,289000,250000,395000,240000,
December 2011,285000,235000,375000,249000,
January 2012,273500,234444,349750,237500,
February 2012,281054,250000,350000,224750,
March 2012,281028,274000,388500,222250,
April 2012,307750,273000,435000,229475,
May 2012,301000,287500,456175,233500,
June 2012,320000,298500,439950,240000,
July 2012,321500,300000,439950,260750,
August 2012,329400,302500,435000,265000,
September 2012,322750,297000,434750,277500,
October 2012,320000,309088,425000,280000,
November 2012,315000,310000,439900,278500,
December 2012,328750,300000,469990,275000,
January 2013,320900,283500,469995,277500,
February 2013,327500,294800,415500,265000,
March 2013,325000,340000,400250,265000,
April 2013,340000,350000,434000,265000,
May 2013,355000,350000,450000,273000,
June 2013,359475,340000,475000,297000,
July 2013,370000,360400,470000,312000,
August 2013,369750,355000,465000,337250,
September 2013,375000,360000,455000,337250,
October 2013,377000,355000,464500,335875,
November 2013,371750,360000,495000,325000,
December 2013,354326,369000,485000,335000,
January 2014,349500,365000,486250,329750,
February 2014,333000,357900,459475,331500,
March 2014,365500,375400,446475,325000,
April 2014,375100,370000,454000,319750,
May 2014,380000,379900,505500,335000,
June 2014,389250,400000,534600,330000,
July 2014,389000,404750,506000,338250,
August 2014,390000,388233,482000,332000,
September 2014,390000,365000,492000,334500,
October 2014,385000,340000,492500,346000,
November 2014,398500,365500,520000,349950,
December 2014,388975,363500,508000,350000,
January 2015,394250,375000,520000,353500,
February 2015,381500,379578,502499,354250,
March 2015,399925,392000,499500,397500,
April 2015,420000,435000,500000,395000,
May 2015,425000,449500,540000,385000,
June 2015,430500,450000,575000,400500,
July 2015,433000,435000,595000,400000,
August 2015,436675,425000,577450,414000,
September 2015,435000,441500,560000,400000,
October 2015,435000,425000,565000,396000,
November 2015,440000,425500,575000,394800,
December 2015,447500,443000,585523,398000,
January 2016,475000,455000,599000,430500,
February 2016,465000,459975,643000,442500,
March 2016,466250,464800,625000,455000,
April 2016,460000,460000,640000,460000,
May 2016,480000,460000,619950,460000,
June 2016,492250,477000,618475,458000,
July 2016,499000,485950,628775,460000,
August 2016,499000,500000,638000,472500,
September 2016,497900,510000,621500,479000,
October 2016,500000,498500,623975,482500,
November 2016,499450,495000,629510,485000,
December 2016,495000,499000,657475,500000,
January 2017,480000,499000,669000,515000,
February 2017,500000,499000,680000,514656,
March 2017,532500,523250,701500,539750,
April 2017,565000,560000,725000,543750,
May 2017,572000,585000,725000,573000,
June 2017,580000,605000,715000,585000,
July 2017,585000,620000,720000,585000,
August 2017,585000,620000,715750,584475,
September 2017,585000,618000,719000,575000,
October 2017,585000,609500,716004,595000,
November 2017,590000,612800,745000,588000,
December 2017,605000,630000,770000,575750,
January 2018,628000,630000,781975,575000,
February 2018,650000,630000,789975,617500,
March 2018,660500,659000,799950,650000,
April 2018,650000,670000,810000,662500,
May 2018,650000,698588,849900,635000,
June 2018,647000,701000,848950,662000,
July 2018,650000,698000,849000,667000,
August 2018,626831,639500,830000,650000,
September 2018,649500,602000,785000,599000,
October 2018,610000,598750,750000,597175,
November 2018,609975,611250,750000,575500,
December 2018,599475,610000,765000,565000,
January 2019,615000,580000,762500,575000,
February 2019,605000,590000,750000,605000,
March 2019,600000,584500,735000,622000,
April 2019,627500,610000,745000,602500,
May 2019,643995,627500,729475,600000,
June 2019,641000,640000,779900,599000,
July 2019,640000,655000,760000,612500,
August 2019,639950,650000,795000,606000,
September 2019,630000,650000,749975,599950,
October 2019,625000,651000,788000,572000,
November 2019,609925,650000,815000,569000,
December 2019,615000,630000,820000,572000,
January 2020,600000,605000,760375,581000,
February 2020,623000,590000,710000,580975,
March 2020,650000,625000,700000,601725,
April 2020,667475,653500,700000,613313,
May 2020,664900,680000,769000,627000,
June 2020,660000,676000,838150,628500,
July 2020,655000,671500,826000,630000,
August 2020,665000,681000,825000,650000,
September 2020,665000,700000,825000,652500,
October 2020,669000,705000,847500,655000,
November 2020,660000,690000,840000,650000,
December 2020,650000,671995,830000,650000,
January 2021,640750,672125,815000,650000,
February 2021,642250,693250,790000,629250,
March 2021,650000,715000,775000,620000,
April 2021,675000,719975,811000,635000,
May 2021,711000,730000,849950,669950,
June 2021,727250,729900,850000,699995,
July 2021,730000,775500,849000,700000,
August 2021,726000,760000,822500,700000,
September 2021,730000,799000,825000,668000,
October 2021,725000,768750,829000,670000,
November 2021,695000,750000,835000,658500,
December 2021,690000,740000,823450,682500,
January 2022,674950,710000,815000,700000,
February 2022,683950,737475,815000,712500,
March 2022,749950,800000,828900,717495,
April 2022,820000,828500,822500,750000,
May 2022,850000,850450,850000,819333,
June 2022,827000,857000,816000,830000,
July 2022,820000,842500,868000,794000,
August 2022,800000,825000,860000,756000,
September 2022,795000,760000,875000,715000,
October 2022,780000,749000,875000,725000,
November 2022,765000,739500,872000,710000,
December 2022,760000,732000,875000,697475,
January 2023,750000,717000,850000,652500,
February 2023,700000,647000,840000,665300,
March 2023,689500,709950,825000,670000,
April 2023,693844,710000,790000,670000,
May 2023,739000,739500,770744,662500,
June 2023,767475,750000,798500,677500,
July 2023,778800,775000,799950,700000,
August 2023,764950,777495,847975,699950,
September 2023,752500,735000,840000,665000,
October 2023,746750,747970,899875,639950,
November 2023,750000,750000,917500,644950,
December 2023,748750,755000,830000,647475,
January 2024,735500,725000,825000,650000,
February 2024,750000,728450,805000,660000,
March 2024,762500,731950,868250,663000,
April 2024,800000,767975,875000,700000,
May 2024,822480,799950,875000,702500,
June 2024,835000,825000,930000,742500,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


