Metric:,Homes for Sale
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,366,145,352,69,
February 2006,349,135,319,70,
March 2006,343,145,331,75,
April 2006,342,153,337,81,
May 2006,355,162,356,88,
June 2006,406,176,380,94,
July 2006,459,195,403,103,
August 2006,506,207,415,111,
September 2006,547,219,444,112,
October 2006,575,229,469,115,
November 2006,570,236,484,110,
December 2006,503,216,432,100,
January 2007,438,197,411,92,
February 2007,410,190,413,92,
March 2007,447,202,470,110,
April 2007,490,224,506,118,
May 2007,544,250,554,129,
June 2007,603,282,592,136,
July 2007,662,306,626,148,
August 2007,705,321,624,159,
September 2007,738,348,652,166,
October 2007,761,365,679,170,
November 2007,771,367,702,173,
December 2007,717,328,645,159,
January 2008,678,305,619,155,
February 2008,654,303,631,149,
March 2008,692,338,709,165,
April 2008,739,362,785,173,
May 2008,796,381,852,191,
June 2008,853,390,898,204,
July 2008,874,398,909,213,
August 2008,867,396,896,210,
September 2008,861,392,879,209,
October 2008,871,380,840,206,
November 2008,867,368,797,203,
December 2008,799,340,717,178,
January 2009,726,321,684,158,
February 2009,692,322,691,146,
March 2009,728,341,744,151,
April 2009,773,353,783,147,
May 2009,812,364,808,140,
June 2009,831,376,828,141,
July 2009,843,394,847,145,
August 2009,854,391,856,151,
September 2009,867,377,863,158,
October 2009,873,355,853,166,
November 2009,846,336,824,168,
December 2009,769,306,742,157,
January 2010,716,295,705,156,
February 2010,706,296,700,163,
March 2010,771,333,763,179,
April 2010,831,367,812,192,
May 2010,889,398,863,196,
June 2010,927,408,905,194,
July 2010,962,408,928,187,
August 2010,979,409,919,192,
September 2010,971,409,899,202,
October 2010,933,406,868,208,
November 2010,869,395,815,207,
December 2010,792,372,724,195,
January 2011,729,344,639,183,
February 2011,700,328,598,167,
March 2011,707,333,596,160,
April 2011,724,343,611,156,
May 2011,734,342,624,155,
June 2011,750,340,635,161,
July 2011,760,338,630,165,
August 2011,763,332,617,173,
September 2011,747,325,602,168,
October 2011,704,311,581,164,
November 2011,648,301,549,152,
December 2011,584,279,498,142,
January 2012,534,265,460,133,
February 2012,494,248,426,134,
March 2012,468,246,413,132,
April 2012,459,246,401,133,
May 2012,474,245,403,126,
June 2012,489,239,414,121,
July 2012,497,232,413,120,
August 2012,487,235,402,122,
September 2012,483,246,389,128,
October 2012,465,247,369,125,
November 2012,434,236,350,118,
December 2012,379,207,311,104,
January 2013,341,184,285,88,
February 2013,327,169,276,75,
March 2013,338,161,281,71,
April 2013,347,161,294,73,
May 2013,365,171,306,79,
June 2013,390,190,334,85,
July 2013,433,208,360,91,
August 2013,467,217,372,102,
September 2013,482,226,363,110,
October 2013,469,217,346,117,
November 2013,440,200,311,110,
December 2013,395,173,267,99,
January 2014,360,161,229,90,
February 2014,332,158,215,88,
March 2014,335,161,214,88,
April 2014,342,172,229,84,
May 2014,368,184,251,85,
June 2014,391,195,280,89,
July 2014,415,193,293,94,
August 2014,410,184,290,97,
September 2014,407,177,282,98,
October 2014,386,178,260,96,
November 2014,359,171,234,90,
December 2014,302,150,189,77,
January 2015,261,126,166,73,
February 2015,239,114,156,69,
March 2015,234,112,161,69,
April 2015,234,115,174,63,
May 2015,230,119,194,64,
June 2015,230,121,206,65,
July 2015,234,122,205,70,
August 2015,232,124,206,70,
September 2015,235,127,216,69,
October 2015,229,125,219,69,
November 2015,210,113,199,64,
December 2015,178,97,166,55,
January 2016,155,87,150,48,
February 2016,149,83,152,47,
March 2016,154,89,170,57,
April 2016,167,99,186,56,
May 2016,185,105,200,56,
June 2016,205,110,209,50,
July 2016,218,115,207,54,
August 2016,228,125,200,60,
September 2016,252,130,205,65,
October 2016,244,127,198,66,
November 2016,224,116,177,62,
December 2016,177,99,130,53,
January 2017,152,82,103,48,
February 2017,131,68,92,42,
March 2017,129,72,101,44,
April 2017,127,74,108,48,
May 2017,144,86,118,50,
June 2017,159,92,123,55,
July 2017,171,105,132,61,
August 2017,171,107,136,72,
September 2017,175,109,149,80,
October 2017,178,106,152,78,
November 2017,162,103,142,72,
December 2017,121,87,109,57,
January 2018,94,76,85,47,
February 2018,86,63,84,39,
March 2018,105,62,103,44,
April 2018,126,63,118,52,
May 2018,154,77,139,61,
June 2018,194,100,163,76,
July 2018,243,116,197,90,
August 2018,290,134,220,105,
September 2018,345,152,261,115,
October 2018,376,168,291,123,
November 2018,372,169,301,123,
December 2018,310,144,257,107,
January 2019,249,118,219,96,
February 2019,224,101,206,86,
March 2019,237,100,234,90,
April 2019,268,110,265,95,
May 2019,302,138,312,107,
June 2019,327,166,342,116,
July 2019,339,187,362,121,
August 2019,333,185,348,125,
September 2019,327,180,335,128,
October 2019,312,166,323,126,
November 2019,284,148,296,113,
December 2019,232,122,246,97,
January 2020,189,105,193,79,
February 2020,163,91,173,67,
March 2020,167,97,192,62,
April 2020,187,103,214,64,
May 2020,225,109,236,72,
June 2020,265,108,249,79,
July 2020,305,108,285,85,
August 2020,340,115,345,98,
September 2020,363,118,414,112,
October 2020,359,120,455,125,
November 2020,319,114,437,121,
December 2020,253,108,369,108,
January 2021,198,96,304,89,
February 2021,161,87,271,74,
March 2021,160,82,272,67,
April 2021,174,84,288,67,
May 2021,187,88,296,68,
June 2021,209,95,307,74,
July 2021,220,107,303,85,
August 2021,230,114,287,93,
September 2021,227,115,272,91,
October 2021,212,105,263,81,
November 2021,180,86,239,67,
December 2021,138,66,188,52,
January 2022,106,54,136,40,
February 2022,100,49,121,33,
March 2022,108,54,133,34,
April 2022,120,60,154,39,
May 2022,132,73,181,49,
June 2022,157,92,230,67,
July 2022,193,112,277,81,
August 2022,227,126,303,92,
September 2022,254,131,309,101,
October 2022,257,129,301,105,
November 2022,253,127,284,101,
December 2022,213,116,239,81,
January 2023,178,108,199,65,
February 2023,143,102,183,55,
March 2023,138,105,199,61,
April 2023,142,105,225,70,
May 2023,156,109,252,81,
June 2023,178,116,269,83,
July 2023,194,127,274,82,
August 2023,201,133,276,79,
September 2023,199,144,293,81,
October 2023,197,150,304,80,
November 2023,198,148,294,79,
December 2023,177,124,244,68,
January 2024,152,106,212,60,
February 2024,141,99,206,56,
March 2024,154,110,231,60,
April 2024,178,118,265,69,
May 2024,219,139,316,81,
June 2024,253,153,360,95,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


