Metric:,Median Days on Market
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,27,26,28,20,
February 2006,28,29,31,21,
March 2006,27,27,27,21,
April 2006,24,25,23,19,
May 2006,20,19,21,19,
June 2006,18,18,21,19,
July 2006,18,17,18,23,
August 2006,21,19,18,18,
September 2006,24,19,18,19,
October 2006,25,18,20,17,
November 2006,27,18,23,22,
December 2006,31,21,28,26,
January 2007,37,28,31,32,
February 2007,42,34,31,31,
March 2007,29,31,32,31,
April 2007,23,31,28,29,
May 2007,20,28,28,28,
June 2007,21,21,27,28,
July 2007,22,21,25,28,
August 2007,25,20,26,28,
September 2007,28,25,27,27,
October 2007,32,27,35,25,
November 2007,38,28,36,25,
December 2007,42,40,40,27,
January 2008,45,42,42,37,
February 2008,52,55,44,43,
March 2008,51,43,43,45,
April 2008,51,43,43,34,
May 2008,46,40,37,36,
June 2008,42,44,37,44,
July 2008,39,44,40,48,
August 2008,40,40,41,50,
September 2008,43,39,46,56,
October 2008,46,32,52,53,
November 2008,42,35,58,51,
December 2008,46,42,56,48,
January 2009,42,44,47,46,
February 2009,61,61,44,52,
March 2009,61,59,39,56,
April 2009,49,53,35,36,
May 2009,42,39,35,29,
June 2009,35,39,37,32,
July 2009,40,38,40,34,
August 2009,37,37,42,42,
September 2009,45,33,47,31,
October 2009,45,31,52,28,
November 2009,41,31,48,23,
December 2009,40,40,45,29,
January 2010,45,47,40,32,
February 2010,47,41,37,47,
March 2010,40,37,36,25,
April 2010,31,33,36,22,
May 2010,32,30,36,22,
June 2010,33,28,40,24,
July 2010,34,27,40,24,
August 2010,34,27,44,23,
September 2010,35,31,51,21,
October 2010,44,35,54,40,
November 2010,46,37,54,40,
December 2010,45,36,47,45,
January 2011,45,41,49,48,
February 2011,45,46,63,54,
March 2011,47,39,64,49,
April 2011,34,39,54,38,
May 2011,32,38,43,35,
June 2011,30,38,35,35,
July 2011,30,29,31,40,
August 2011,35,26,30,31,
September 2011,37,26,29,32,
October 2011,43,25,29,30,
November 2011,40,29,29,35,
December 2011,43,33,40,25,
January 2012,43,39,43,18,
February 2012,50,55,50,30,
March 2012,47,56,32,27,
April 2012,38,48,31,14,
May 2012,26,37,23,14,
June 2012,19,23,20,14,
July 2012,19,21,20,20,
August 2012,19,20,18,20,
September 2012,21,18,17,20,
October 2012,17,20,14,17,
November 2012,21,16,16,16,
December 2012,23,19,17,21,
January 2013,28,20,20,29,
February 2013,25,27,21,29,
March 2013,20,31,15,25,
April 2013,13,20,11,20,
May 2013,11,12,9,16,
June 2013,10,11,8,11,
July 2013,10,10,8,8,
August 2013,12,11,8,9,
September 2013,14,12,11,9,
October 2013,14,14,11,10,
November 2013,14,20,14,11,
December 2013,16,20,16,16,
January 2014,24,21,22,18,
February 2014,28,22,19,19,
March 2014,22,15,11,15,
April 2014,13,12,9,13,
May 2014,10,11,9,13,
June 2014,8,10,8,12,
July 2014,9,10,8,12,
August 2014,10,11,9,11,
September 2014,13,16,11,11,
October 2014,15,14,14,10,
November 2014,17,12,12,11,
December 2014,20,13,12,11,
January 2015,21,18,13,11,
February 2015,19,19,12,11,
March 2015,12,17,9,11,
April 2015,9,9,8,11,
May 2015,7,7,8,7,
June 2015,7,7,8,7,
July 2015,7,8,8,8,
August 2015,8,9,8,9,
September 2015,8,9,8,10,
October 2015,8,10,8,10,
November 2015,8,11,9,10,
December 2015,9,11,9,9,
January 2016,10,13,10,12,
February 2016,9,10,9,10,
March 2016,8,9,8,8,
April 2016,7,8,8,8,
May 2016,7,7,8,8,
June 2016,7,7,8,8,
July 2016,7,7,8,8,
August 2016,8,8,8,7,
September 2016,8,8,8,8,
October 2016,8,9,8,8,
November 2016,9,9,9,8,
December 2016,11,9,10,8,
January 2017,13,10,12,9,
February 2017,12,11,10,11,
March 2017,8,9,8,10,
April 2017,7,8,7,8,
May 2017,7,7,7,7,
June 2017,7,7,7,7,
July 2017,7,7,7,8,
August 2017,7,8,7,8,
September 2017,8,8,8,9,
October 2017,8,9,8,8,
November 2017,9,9,8,8,
December 2017,10,9,8,8,
January 2018,10,9,9,11,
February 2018,9,9,8,10,
March 2018,7,8,8,8,
April 2018,7,8,7,7,
May 2018,7,7,7,7,
June 2018,7,7,7,8,
July 2018,7,8,8,8,
August 2018,8,9,8,9,
September 2018,10,9,9,10,
October 2018,12,11,11,10,
November 2018,16,13,15,12,
December 2018,21,18,19,16,
January 2019,27,22,24,31,
February 2019,33,24,21,35,
March 2019,20,15,16,36,
April 2019,11,8,10,11,
May 2019,8,7,10,9,
June 2019,9,8,10,11,
July 2019,10,11,11,14,
August 2019,11,13,13,15,
September 2019,14,22,15,15,
October 2019,16,20,16,19,
November 2019,17,21,18,19,
December 2019,16,20,20,20,
January 2020,18,26,24,16,
February 2020,16,26,22,21,
March 2020,9,11,10,11,
April 2020,6,7,7,8,
May 2020,6,7,7,7,
June 2020,6,7,10,8,
July 2020,7,7,10,9,
August 2020,8,7,7,9,
September 2020,8,7,7,7,
October 2020,8,7,7,7,
November 2020,9,7,10,8,
December 2020,11,8,14,12,
January 2021,15,8,19,14,
February 2021,12,10,21,23,
March 2021,7,7,15,15,
April 2021,6,6,8,8,
May 2021,6,6,7,6,
June 2021,6,6,7,6,
July 2021,6,6,7,6,
August 2021,6,7,8,7,
September 2021,6,7,9,7,
October 2021,6,7,10,8,
November 2021,7,6,8,8,
December 2021,7,7,9,7,
January 2022,8,8,10,8,
February 2022,6,8,10,7,
March 2022,5,6,6,7,
April 2022,5,6,6,6,
May 2022,5,6,6,5,
June 2022,5,6,6,5,
July 2022,6,6,6,6,
August 2022,7,6,7,6,
September 2022,10,8,10,7,
October 2022,13,9,16,10,
November 2022,13,11,17,11,
December 2022,13,13,21,19,
January 2023,20,18,22,25,
February 2023,21,29,21,21,
March 2023,13,17,15,19,
April 2023,7,15,11,9,
May 2023,6,8,9,9,
June 2023,6,7,9,8,
July 2023,6,8,10,14,
August 2023,6,9,11,8,
September 2023,7,12,14,13,
October 2023,7,11,15,11,
November 2023,9,11,19,17,
December 2023,8,12,20,17,
January 2024,19,18,22,21,
February 2024,17,14,16,31,
March 2024,12,11,12,30,
April 2024,6,9,7,11,
May 2024,6,8,7,13,
June 2024,6,7,9,13,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


